title,company,salary,link,min_salary,max_salary
Python Backend Developer,,54 300 – 76 900 грн,https://www.work.ua/jobs/5748761/,54300,76900
Python-програміст,,15 000 – 20 000 грн,https://www.work.ua/jobs/5262279/,15000,20000
Python-програміст,,50 000 грн,https://www.work.ua/jobs/5764205/,50000,50000
Trainee Python Developer,"Мельник О.І., ФОП",5 000 грн,https://www.work.ua/jobs/5165604/,5000,5000
Senior Python Developer,,Aesthetics360,https://www.work.ua/jobs/5762254/,360,360
Odoo Python Developer,"Абитек, ООО",20 000 – 35 000 грн,https://www.work.ua/jobs/5760805/,20000,35000
Full-stack програміст на Python (Strong Junior),Аптека АНЦ,29 000 грн,https://www.work.ua/jobs/5055123/,29000,29000
Junior Python developer (cloud backend),"Codeavors, stealth German technology startup",18 713 – 37 426 грн,https://www.work.ua/jobs/4821469/,18713,37426
Python (BackEnd) розробник,,15 000 – 30 000 грн,https://www.work.ua/jobs/5755480/,15000,30000
Python Developer,,80 000 – 120 000 грн,https://www.work.ua/jobs/5709947/,80000,120000
"Python Backend Developer (Ninja, Startup from Germany)",,90 000 – 125 000 грн,https://www.work.ua/jobs/5746409/,90000,125000
Python developer,,30 000 – 60 000 грн,https://www.work.ua/jobs/5743270/,30000,60000
Senior Python developer,,228 000 грн,https://www.work.ua/jobs/5738669/,228000,228000
"Full stack Python DRF, VueJS developer",,30 000 – 80 000 грн,https://www.work.ua/jobs/5735108/,30000,80000
Junior Python Developer,,14 000 – 20 000 грн,https://www.work.ua/jobs/5728732/,14000,20000
